program,source_page,source_sha256,source_recovery,translation,numeric_qa,korean_review,visual_qa,target_pages,reviewer,notes
lotus,20,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,21,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,22,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,23,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,24,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,25,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,26,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,27,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,28,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,29,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,30,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,31,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,32,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,33,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,34,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,35,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,36,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
